,index,callingcellid,date_key,call_date,caller,year_month,time,day_of_week,is_weekend,hour,time_of_day,is_home_time,latitude,longitude,provName
59,6639,4.12203011463e+14,20161203,12/3/2016 6:22:02 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-03 18:22:02,5,False,18,18.3666666667,True,34.5011,70.3906,Nangarhar
60,6653,4.12203011463e+14,20161202,12/2/2016 7:18:39 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-02 07:18:39,4,True,7,7.3,True,34.5011,70.3906,Nangarhar
61,6834,4.12203011131e+14,20161208,12/8/2016 1:02:01 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-08 13:02:01,3,False,13,13.0333333333,False,34.4265,70.4613,Nangarhar
62,7028,4.1220301113e+14,20161220,12/20/2016 5:13:36 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-20 17:13:36,1,False,17,17.2166666667,True,34.4407,70.398,Nangarhar
63,7089,4.1220301113e+14,20161220,12/20/2016 5:35:20 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-20 17:35:20,1,False,17,17.5833333333,True,34.4407,70.398,Nangarhar
64,7100,4.12203011463e+14,20161220,12/20/2016 8:22:38 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-20 08:22:38,1,False,8,8.36666666667,False,34.5011,70.3906,Nangarhar
65,7108,4.1220301113e+14,20161220,12/20/2016 8:09:11 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-20 08:09:11,1,False,8,8.15,False,34.4407,70.398,Nangarhar
66,7387,4.1220301113e+14,20161204,12/4/2016 8:36:23 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-04 08:36:23,6,False,8,8.6,False,34.4245,70.4245,Nangarhar
67,7397,4.12203011131e+14,20161207,12/7/2016 2:38:29 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-07 14:38:29,2,False,14,14.6333333333,False,34.4265,70.4613,Nangarhar
68,7503,4.1220301113e+14,20161211,12/11/2016 7:44:43 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-11 07:44:43,6,False,7,7.73333333333,True,34.4245,70.4245,Nangarhar
69,7951,4.12203011131e+14,20161201,12/1/2016 1:11:45 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-01 13:11:45,3,False,13,13.1833333333,False,34.4309,70.4518,Nangarhar
70,7981,4.1220301113e+14,20161204,12/4/2016 8:24:49 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-04 08:24:49,6,False,8,8.4,False,34.4407,70.398,Nangarhar
71,8185,4.12203011463e+14,20161210,12/10/2016 6:26:40 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-10 18:26:40,5,False,18,18.4333333333,True,34.5011,70.3906,Nangarhar
72,8271,4.1220301113e+14,20161213,12/13/2016 11:51:20 AM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-13 11:51:20,1,False,11,11.85,False,34.4347,70.4758,Nangarhar
73,8299,4.1220301113e+14,20161201,12/1/2016 7:18:26 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-01 19:18:26,3,False,19,19.3,True,34.4202,70.4383,Nangarhar
74,8351,4.1220301113e+14,20161217,12/17/2016 6:24:08 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-17 18:24:08,5,False,18,18.4,True,34.4407,70.398,Nangarhar
75,8370,4.1220301113e+14,20161216,12/16/2016 8:06:40 PM,+2P93uqI8OeRkAO1cjPnxw==,201612,2016-12-16 20:06:40,4,True,20,20.1,True,34.4407,70.398,Nangarhar
